Lista 1,Lista 2,Lista 3,Lista 4,Lista 5,Lista 6,Lista 7,Lista 8,Lista 9,Lista 10
0.039430,0.159967,0.371624,0.698515,1.116924,1.646439,2.241174,3.046308,3.952588,5.275041
0.039732,0.161899,0.370406,0.693589,1.107772,1.630817,2.222962,2.996340,3.903590,4.976440
0.042308,0.161248,0.381107,0.688571,1.101853,1.627601,2.278017,2.964085,3.953251,5.000782
0.039804,0.159289,0.384970,0.728561,1.112704,1.629308,2.261742,2.971846,4.056541,4.977309
0.039382,0.160231,0.376592,0.697876,1.144147,1.635260,2.221054,2.970576,3.836627,5.002751
0.039624,0.159413,0.372440,0.689621,1.101926,1.638964,2.210927,2.971156,3.869015,4.918347
0.040424,0.161733,0.371045,0.697470,1.107880,1.618439,2.214835,2.968871,3.840691,5.027214
0.039842,0.160443,0.387138,0.702750,1.115289,1.626971,2.305070,2.972667,3.813165,4.950992
0.039181,0.160513,0.375537,0.694975,1.123142,1.622700,2.224411,2.966171,3.882972,4.890532
0.039732,0.159669,0.373186,0.690826,1.102507,1.662171,2.210668,2.949089,3.876573,4.918594
0.040431,0.161223,0.406920,0.705838,1.107086,1.622859,2.212809,2.931168,3.921792,5.049839
0.039963,0.159898,0.369240,0.705444,1.118539,1.635613,2.227783,2.895284,4.020865,5.039840
0.039470,0.159945,0.368336,0.690372,1.109356,1.625171,2.206898,2.943939,3.829225,5.168100
0.040185,0.159876,0.371541,0.691966,1.108253,1.636745,2.223272,2.968878,3.878956,5.027131
0.039597,0.161446,0.376133,0.700016,1.111010,1.626944,2.222664,2.979449,3.914028,5.031767
0.039968,0.170716,0.382761,0.705311,1.114206,1.648815,2.234329,2.956577,3.995389,5.365819
0.043098,0.174736,0.409489,0.741394,1.135912,1.715886,2.523597,3.031416,3.888347,4.996415
0.039830,0.159597,0.372962,0.692648,1.108767,1.619840,2.211640,2.964974,3.876608,4.913317
0.039522,0.159530,0.370646,0.693381,1.107493,1.626757,2.205919,2.925009,3.889287,5.043980
0.040163,0.160781,0.372266,0.706018,1.105513,1.626399,2.231556,2.988625,3.928886,5.066144
0.040090,0.160291,0.373521,0.693969,1.113042,1.636778,2.218467,2.934287,3.871672,5.063295
0.039585,0.159972,0.373044,0.692749,1.106569,1.622687,2.207762,3.024002,3.754299,4.487184
0.038246,0.153429,0.354521,0.696851,1.061965,1.593142,2.148460,2.794530,3.649734,4.711843
0.040199,0.168615,0.398080,0.700317,1.086964,1.602846,2.303676,2.900409,3.683753,5.129816
0.040449,0.159651,0.370636,0.688606,1.099821,1.625456,2.188496,3.109016,3.937796,4.720527
0.038133,0.153034,0.360373,0.659181,1.063989,1.590673,2.147448,2.907027,3.776235,4.546499
0.038948,0.156181,0.368013,0.691032,1.059699,1.644858,2.200046,2.915942,3.716419,4.960216
0.038158,0.154022,0.359729,0.674795,1.070603,1.629563,2.287248,3.114066,4.023902,5.362677
0.038585,0.157772,0.370272,0.711108,1.126268,1.631976,2.251980,3.058596,3.904292,5.249903
0.040839,0.161436,0.376607,0.695754,1.120238,1.630961,2.256718,3.013012,3.917224,5.232403

